iter	Passed	Remaining
0	2	283
1	5	254
2	7	239
3	10	251
4	22	434
5	25	400
6	31	421
7	38	443
8	42	430
9	50	456
10	56	459
11	62	459
12	67	454
13	71	438
14	77	441
15	81	425
16	83	408
17	88	401
18	93	397
19	96	385
20	100	378
21	104	372
22	108	362
23	111	352
24	122	367
25	124	355
26	129	349
27	132	340
28	136	335
29	144	338
30	148	329
31	150	320
32	159	324
33	163	317
34	167	311
35	171	304
36	174	296
37	176	288
38	184	288
39	186	279
40	188	271
41	195	270
42	198	263
43	200	255
44	206	252
45	210	247
46	213	240
47	219	237
48	221	230
49	227	227
50	231	222
51	238	220
52	242	215
53	247	210
54	257	210
55	260	204
56	266	201
57	269	195
58	276	192
59	279	186
60	281	180
61	288	176
62	291	170
63	294	165
64	301	162
65	305	157
66	312	153
67	315	148
68	322	144
69	325	139
70	328	134
71	335	130
72	338	125
73	341	119
74	350	116
75	353	111
76	356	106
77	363	102
78	365	97
79	367	91
80	376	88
81	378	83
82	382	78
83	390	74
84	393	69
85	397	64
86	402	60
87	406	55
88	414	51
89	417	46
90	420	41
91	428	37
92	431	32
93	434	27
94	440	23
95	444	18
96	447	13
97	454	9
98	458	4
99	461	0
